cod_municipio;provincia;nombre_municipio;segmento_renta;renta_neta_persona;n_vehiculos;potencia_cv_media;antiguedad_media;pct_electrificado;pct_gama_alta;pct_renting;n_electrificados;n_gama_alta;n_renting
08023;08;Bigues i Riells del Fai;Alta;17201,0;3987;126,0;7,76;19,36;13,64;0,0;772;544;0
08033;08;Caldes de Montbui;Alta;17089,0;6600;126,34;7,92;18,32;14,23;0,02;1209;939;1
08035;08;Calella;Media;14031,0;4380;121,04;8,09;16,23;12,05;0,02;711;528;1
08040;08;Canet de Mar;Alta;15714,0;4254;118,25;8,02;17,44;12,46;0,02;742;530;1
08041;08;Canovelles;Baja;12923,0;4519;123,99;8,24;14,58;12,1;0,0;659;547;0
08046;08;Cardedeu;Muy alta;17792,0;6264;123,67;7,82;18,34;11,29;0,0;1149;707;0
08051;08;Castellar del Vallès;Muy alta;17260,0;8728;125,32;7,86;19,17;13,71;0,02;1673;1197;2
08054;08;Castellbisbal;Alta;16867,0;5034;124,06;7,71;20,88;11,01;0,66;1051;554;33
08056;08;Castelldefels;Muy alta;18693,0;20094;127,84;7,63;20,95;18,01;0,01;4210;3619;3
08072;08;Corbera de Llobregat;Muy alta;18030,0;5474;125,49;7,4;22,4;12,48;0,0;1226;683;0
08073;08;Cornellà de Llobregat;Media;14920,0;19621;124,05;7,78;17,97;10,61;0,01;3526;2082;1
08074;08;Cubelles;Alta;16276,0;5531;120,55;7,73;20,23;10,69;0,0;1119;591;0
08076;08;Esparreguera;Alta;16203,0;7524;122,5;7,76;15,92;9,84;0,01;1198;740;1
08077;08;Esplugues de Llobregat;Muy alta;17633,0;11085;127,91;7,74;19,99;14,92;0,0;2216;1654;0
08086;08;Franqueses del Vallès, Les;Alta;15350,0;7277;125,74;7,85;17,53;12,53;0,0;1276;912;0
08088;08;Garriga, La;Muy alta;18467,0;5953;123,2;7,73;17,42;13,46;0,0;1037;801;0
08089;08;Gavà;Alta;17120,0;14061;126,84;7,6;20,38;14,5;0,01;2865;2039;2
08096;08;Granollers;Alta;16199,0;19136;124,51;7,69;19,36;14,67;0,02;3704;2807;4
08101;08;Hospitalet de Llobregat, L';Baja;13302,0;48691;124,54;7,5;21,6;9,3;0,01;10517;4526;3
08102;08;Igualada;Alta;15698,0;12155;124,36;8,08;17,73;13,13;0,01;2155;1596;1
08105;08;Llagosta, La;Media;13766,0;3613;121,53;8,11;13,89;9,58;0,0;502;346;0
08106;08;Llinars del Vallès;Alta;17101,0;3832;124,86;7,45;18,32;14,01;0,99;702;537;38
08107;08;Lliçà d'Amunt;Alta;16930,0;6712;124,57;7,87;19,85;12,32;0,0;1332;827;0
08110;08;Malgrat de Mar;Media;14651,0;5243;117,39;8,09;14,25;9,56;0,0;747;501;0
08112;08;Manlleu;Media;13699,0;5950;124,67;8,37;14,69;14,54;0,0;874;865;0
08113;08;Manresa;Media;15099,0;21727;123,78;7,99;18,79;13,84;0,01;4083;3006;3
08114;08;Martorell;Media;14833,0;15682;143,33;4,55;30,0;5,5;0,0;4705;863;0
08118;08;Masnou, El;Muy alta;19295,0;7766;122,28;7,59;21,63;14,87;0,0;1680;1155;0
08119;08;Masquefa;Alta;15641,0;3201;123,79;7,98;16,03;9,4;0,0;513;301;0
08121;08;Mataró;Media;14433,0;32986;120,3;7,91;18,54;12,32;0,0;6114;4064;0
08123;08;Molins de Rei;Muy alta;18316,0;8477;124,94;7,41;21,36;12,98;0,0;1811;1100;0
08124;08;Mollet del Vallès;Media;15241,0;15482;121,85;7,86;16,87;9,82;0,0;2612;1520;0
08125;08;Montcada i Reixac;Media;14700,0;12297;129,07;7,02;21,43;21,82;0,0;2635;2683;0
